ip,blnk,host,object_class,domain,,,,,,,,,,,,int,int_desc
10.72.76.250,,aup_vl1076_hsrp,Router,pfizer.com,,,,,,,,,,,,Vl1076_HSRP,
10.72.77.250,,aup_vl1077_hsrp,Router,pfizer.com,,,,,,,,,,,,Vl1077_HSRP,
10.72.96.250,,aup_vl2096_hsrp,Router,pfizer.com,,,,,,,,,,,,Vl2096_HSRP,
10.72.97.250,,aup_vl2097_hsrp,Router,pfizer.com,,,,,,,,,,,,Vl2097_HSRP,
10.72.98.250,,aup_vl2098_hsrp,Router,pfizer.com,,,,,,,,,,,,Vl2098_HSRP,
10.72.99.250,,aup_vl2099_hsrp,Router,pfizer.com,,,,,,,,,,,,Vl2099_HSRP,
10.72.100.250,,aup_vl2100_hsrp,Router,pfizer.com,,,,,,,,,,,,Vl2100_HSRP,
10.72.101.250,,aup_vl2101_hsrp,Router,pfizer.com,,,,,,,,,,,,Vl2101_HSRP,
10.72.102.250,,aup_vl2102_hsrp,Router,pfizer.com,,,,,,,,,,,,Vl2102_HSRP,
10.72.103.250,,aup_vl2103_hsrp,Router,pfizer.com,,,,,,,,,,,,Vl2103_HSRP,
10.72.104.250,,aup_vl2104_hsrp,Router,pfizer.com,,,,,,,,,,,,Vl2104_HSRP,
10.72.105.250,,aup_vl2105_hsrp,Router,pfizer.com,,,,,,,,,,,,Vl2105_HSRP,
10.72.106.250,,aup_vl2106_hsrp,Router,pfizer.com,,,,,,,,,,,,Vl2106_HSRP,
10.72.107.250,,aup_vl2107_hsrp,Router,pfizer.com,,,,,,,,,,,,Vl2107_HSRP,
10.72.108.250,,aup_vl2108_hsrp,Router,pfizer.com,,,,,,,,,,,,Vl2108_HSRP,
10.72.109.250,,aup_vl2109_hsrp,Router,pfizer.com,,,,,,,,,,,,Vl2109_HSRP,
10.72.144.250,,aup_vl2144_hsrp,Router,pfizer.com,,,,,,,,,,,,Vl2144_HSRP,
10.72.145.250,,aup_vl2145_hsrp,Router,pfizer.com,,,,,,,,,,,,Vl2145_HSRP,
10.72.146.250,,aup_vl2146_hsrp,Router,pfizer.com,,,,,,,,,,,,Vl2146_HSRP,
10.72.147.250,,aup_vl2147_hsrp,Router,pfizer.com,,,,,,,,,,,,Vl2147_HSRP,
10.72.148.250,,aup_vl2148_hsrp,Router,pfizer.com,,,,,,,,,,,,Vl2148_HSRP,
10.72.149.250,,aup_vl2149_hsrp,Router,pfizer.com,,,,,,,,,,,,Vl2149_HSRP,
10.72.150.250,,aup_vl2150_hsrp,Router,pfizer.com,,,,,,,,,,,,Vl2150_HSRP,
10.72.151.250,,aup_vl2151_hsrp,Router,pfizer.com,,,,,,,,,,,,Vl2151_HSRP,
10.72.152.250,,aup_vl2152_hsrp,Router,pfizer.com,,,,,,,,,,,,Vl2152_HSRP,
10.72.153.250,,aup_vl2153_hsrp,Router,pfizer.com,,,,,,,,,,,,Vl2153_HSRP,
10.72.154.250,,aup_vl2154_hsrp,Router,pfizer.com,,,,,,,,,,,,Vl2154_HSRP,
10.72.155.250,,aup_vl2155_hsrp,Router,pfizer.com,,,,,,,,,,,,Vl2155_HSRP,
10.72.48.250,,aup_vl1048_hsrp,Router,pfizer.com,,,,,,,,,,,,Vl1048_HSRP,
10.72.49.250,,aup_vl1049_hsrp,Router,pfizer.com,,,,,,,,,,,,Vl1049_HSRP,
10.72.50.250,,aup_vl1050_hsrp,Router,pfizer.com,,,,,,,,,,,,Vl1050_HSRP,
10.72.51.250,,aup_vl1051_hsrp,Router,pfizer.com,,,,,,,,,,,,Vl1051_HSRP,
10.72.156.1,,aup_vl300_hsrp,Router,pfizer.com,,,,,,,,,,,,Vl300_HSRP,
10.72.156.2,,aup-adm-01-a-csw-1_vl300,switch,pfizer.com,,,,,,,,,,,,Vl300,
10.72.156.3,,aup-int-01-a-csw-1_vl300,switch,pfizer.com,,,,,,,,,,,,Vl300,
10.11.27.1,,aup_vlan301_hsrp,Router,pfizer.com,,,,,,,,,,,,Vlan301_HSRP,
10.11.27.2,,aup-adm-01-a-csw-1_vlan301,switch,pfizer.com,,,,,,,,,,,,Vlan301,
10.11.27.3,,aup-int-01-a-csw-1_vlan301,switch,pfizer.com,,,,,,,,,,,,Vlan301,
10.72.253.1,,inhospawmin01r01_gig0_1,switch,pfizer.com,,,,,,,,,,,,Gig0_1,
10.72.253.5,,inhospawmin01r01_gig0_0_0,switch,pfizer.com,,,,,,,,,,,,Gig0_0_0,
172.23.37.127,,inhospawmin01r01_lo10,switch,pfizer.com,,,,,,,,,,,,Lo10,
0,,aup-adm-01-a-csw-1_,switch,pfizer.com,,,,,,,,,,,,,
0,,aup-int-01-a-csw-1_,switch,pfizer.com,,,,,,,,,,,,,
0,,aup_,switch,pfizer.com,,,,,,,,,,,,,
202.191.223.130,,aup-int-01-e-rtr-1_gig0_0_232,switch,pfizer.com,,,,,,,,,,,,Gig0_0_232,
202.191.223.121,,aup-int-01-e-rtr-1_gig0_1,switch,pfizer.com,,,,,,,,,,,,Gig0_1,
10.72.254.18,,aup-int-01-e-rtr-1_lo0,switch,pfizer.com,,,,,,,,,,,,Lo0,
10.72.78.1,,aup-adm-01-a-asw-003_vlan3207_hsrp,Router,pfizer.com,,,,,,,,,,,,Vlan3207_HSRP,
10.72.78.2,,aup-adm-01-a-asw-003_vlan3207,switch,pfizer.com,,,,,,,,,,,,Vlan3207,
10.72.78.3,,aup-int-01-a-asw-003_vlan3207,switch,pfizer.com,,,,,,,,,,,,Vlan3207,
10.72.254.91,,aup-adm-01-a-sws-1,switch,pfizer.com,,,,,,,,,,,,Vlan100,
10.72.254.92,,aup-int-01-e-sws-1,switch,pfizer.com,,,,,,,,,,,,Vlan100,
10.72.254.9,,aup-adm-01-a-sws-1_vlan99,switch,pfizer.com,,,,,,,,,,,,Vlan99,
10.72.254.10,,aup-int-01-e-sws-1_vlan99,switch,pfizer.com,,,,,,,,,,,,Vlan99,
